annotation_id,text,label,entity
29,Twitter announced updates from its headquarters in San Francisco.,"[{""start"":0,""end"":7,""text"":""Twitter"",""labels"":[""ORGANIZATION""]},{""start"":51,""end"":64,""text"":""San Francisco"",""labels"":[""LOCATION""]}]",
30,Alibaba invested in a startup in Singapore.,"[{""start"":0,""end"":7,""text"":""Alibaba"",""labels"":[""ORGANIZATION""]},{""start"":33,""end"":42,""text"":""Singapore"",""labels"":[""LOCATION""]}]",
1,Elon Musk spoke at a conference in Berlin in 2023.,"[{""start"":0,""end"":9,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":35,""end"":41,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":45,""end"":49,""text"":""2023"",""labels"":[""DATE""]}]",
2,Google launched a product in India last year.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":29,""end"":34,""text"":""India"",""labels"":[""LOCATION""]},{""start"":35,""end"":44,""text"":""last year"",""labels"":[""DATE""]}]",
3,Barack Obama gave a speech in Nairobi on Monday.,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":30,""end"":37,""text"":""Nairobi"",""labels"":[""LOCATION""]},{""start"":41,""end"":47,""text"":""Monday"",""labels"":[""DATE""]}]",
4,Microsoft held a meeting at 10 AM in London.,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":33,""text"":""10 AM"",""labels"":[""TIME""]},{""start"":37,""end"":43,""text"":""London"",""labels"":[""LOCATION""]}]",
5,Amazon expanded to Egypt in 2022.,"[{""start"":0,""end"":6,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":19,""end"":24,""text"":""Egypt"",""labels"":[""LOCATION""]},{""start"":28,""end"":32,""text"":""2022"",""labels"":[""DATE""]}]",
6,Serena Williams trained in Paris in the morning.,"[{""start"":0,""end"":15,""text"":""Serena Williams"",""labels"":[""PERSON""]},{""start"":27,""end"":32,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":40,""end"":47,""text"":""morning"",""labels"":[""TIME""]}]",
7,The United Nations met in New York on September 15.,"[{""start"":4,""end"":18,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":26,""end"":34,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":38,""end"":50,""text"":""September 15"",""labels"":[""DATE""]}]",
8,Tesla announced results at 3 PM in California.,"[{""start"":0,""end"":5,""text"":""Tesla"",""labels"":[""ORGANIZATION""]},{""start"":27,""end"":31,""text"":""3 PM"",""labels"":[""TIME""]},{""start"":35,""end"":45,""text"":""California"",""labels"":[""LOCATION""]}]",
9,Facebook opened an office in Lagos in June.,"[{""start"":0,""end"":8,""text"":""Facebook"",""labels"":[""ORGANIZATION""]},{""start"":29,""end"":34,""text"":""Lagos"",""labels"":[""LOCATION""]},{""start"":38,""end"":42,""text"":""June"",""labels"":[""DATE""]}]",
10,Bill Gates visited Tanzania last week.,"[{""start"":0,""end"":10,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":19,""end"":27,""text"":""Tanzania"",""labels"":[""LOCATION""]},{""start"":28,""end"":37,""text"":""last week"",""labels"":[""DATE""]}]",
11,Apple released a device in China in 2021.,"[{""start"":0,""end"":5,""text"":""Apple"",""labels"":[""ORGANIZATION""]},{""start"":27,""end"":32,""text"":""China"",""labels"":[""LOCATION""]},{""start"":36,""end"":40,""text"":""2021"",""labels"":[""DATE""]}]",
12,The World Bank approved funding in Kenya on Friday.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":35,""end"":40,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":44,""end"":50,""text"":""Friday"",""labels"":[""DATE""]}]",
13,Cristiano Ronaldo played in Madrid at night.,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":28,""end"":34,""text"":""Madrid"",""labels"":[""LOCATION""]},{""start"":38,""end"":43,""text"":""night"",""labels"":[""TIME""]}]",
14,IBM hosted an event in Brazil on March 10.,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":23,""end"":29,""text"":""Brazil"",""labels"":[""LOCATION""]},{""start"":33,""end"":41,""text"":""March 10"",""labels"":[""DATE""]}]",
15,Netflix released a series in Canada this year.,"[{""start"":0,""end"":7,""text"":""Netflix"",""labels"":[""ORGANIZATION""]},{""start"":29,""end"":35,""text"":""Canada"",""labels"":[""LOCATION""]},{""start"":41,""end"":45,""text"":""this year"",""labels"":[""DATE""]}]",
16,Angela Merkel spoke in Berlin on Tuesday morning.,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":23,""end"":29,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":33,""end"":40,""text"":""Tuesday"",""labels"":[""DATE""]},{""start"":41,""end"":48,""text"":""morning"",""labels"":[""TIME""]}]",
17,Samsung launched a phone in South Korea at noon.,"[{""start"":0,""end"":7,""text"":""Samsung"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":39,""text"":""South Korea"",""labels"":[""LOCATION""]},{""start"":43,""end"":47,""text"":""noon"",""labels"":[""TIME""]}]",
18,The African Union met in Addis Ababa in July.,"[{""start"":4,""end"":17,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":25,""end"":36,""text"":""Addis Ababa"",""labels"":[""LOCATION""]},{""start"":40,""end"":44,""text"":""July"",""labels"":[""DATE""]}]",
19,Jeff Bezos attended a meeting in Germany yesterday.,"[{""start"":0,""end"":10,""text"":""Jeff Bezos"",""labels"":[""PERSON""]},{""start"":33,""end"":40,""text"":""Germany"",""labels"":[""LOCATION""]},{""start"":41,""end"":50,""text"":""yesterday"",""labels"":[""DATE""]}]",
20,Twitter announced changes at 5 PM in San Francisco.,"[{""start"":0,""end"":7,""text"":""Twitter"",""labels"":[""ORGANIZATION""]},{""start"":29,""end"":33,""text"":""5 PM"",""labels"":[""TIME""]},{""start"":37,""end"":50,""text"":""San Francisco"",""labels"":[""LOCATION""]}]",
21,Alibaba invested in Singapore in 2020.,"[{""start"":0,""end"":7,""text"":""Alibaba"",""labels"":[""ORGANIZATION""]},{""start"":20,""end"":29,""text"":""Singapore"",""labels"":[""LOCATION""]},{""start"":33,""end"":37,""text"":""2020"",""labels"":[""DATE""]}]",
22,The European Union passed laws in Brussels last month.,"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":34,""end"":42,""text"":""Brussels"",""labels"":[""LOCATION""]},{""start"":43,""end"":53,""text"":""last month"",""labels"":[""DATE""]}]",
23,Jack Ma gave a speech in Shanghai at 11 AM.,"[{""start"":0,""end"":7,""text"":""Jack Ma"",""labels"":[""PERSON""]},{""start"":25,""end"":33,""text"":""Shanghai"",""labels"":[""LOCATION""]},{""start"":37,""end"":42,""text"":""11 AM"",""labels"":[""TIME""]}]",
24,The Red Cross provided aid in Sudan during the evening.,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Sudan"",""labels"":[""LOCATION""]},{""start"":47,""end"":54,""text"":""evening"",""labels"":[""TIME""]}]",
25,Oprah Winfrey hosted a show in Chicago on Sunday.,"[{""start"":0,""end"":13,""text"":""Oprah Winfrey"",""labels"":[""PERSON""]},{""start"":31,""end"":38,""text"":""Chicago"",""labels"":[""LOCATION""]},{""start"":42,""end"":48,""text"":""Sunday"",""labels"":[""DATE""]}]",
26,Google and Microsoft met in Zurich on April 5.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":11,""end"":20,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":34,""text"":""Zurich"",""labels"":[""LOCATION""]},{""start"":38,""end"":45,""text"":""April 5"",""labels"":[""DATE""]}]",
27,The World Health Organization issued a report in Geneva this week.,"[{""start"":4,""end"":29,""text"":""World Health Organization"",""labels"":[""ORGANIZATION""]},{""start"":49,""end"":55,""text"":""Geneva"",""labels"":[""LOCATION""]},{""start"":56,""end"":65,""text"":""this week"",""labels"":[""DATE""]}]",
28,Mark Zuckerberg visited Japan in the afternoon.,"[{""start"":0,""end"":15,""text"":""Mark Zuckerberg"",""labels"":[""PERSON""]},{""start"":24,""end"":29,""text"":""Japan"",""labels"":[""LOCATION""]},{""start"":37,""end"":46,""text"":""afternoon"",""labels"":[""TIME""]}]",
29,Lionel Messi played in Miami at 8 PM.,"[{""start"":0,""end"":12,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":23,""end"":28,""text"":""Miami"",""labels"":[""LOCATION""]},{""start"":32,""end"":36,""text"":""8 PM"",""labels"":[""TIME""]}]",
30,The United Nations held a summit in New York in October.,"[{""start"":4,""end"":18,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":36,""end"":44,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":48,""end"":55,""text"":""October"",""labels"":[""DATE""]}]",
1,"After arriving in Paris, Elon Musk met executives from Tesla on Monday morning.","[{""start"":18,""end"":23,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":25,""end"":34,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":55,""end"":60,""text"":""Tesla"",""labels"":[""ORGANIZATION""]},{""start"":64,""end"":70,""text"":""Monday"",""labels"":[""DATE""]},{""start"":71,""end"":78,""text"":""morning"",""labels"":[""TIME""]}]",
2,Google announced in Berlin that it would expand operations in Africa in 2024.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":20,""end"":26,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":62,""end"":68,""text"":""Africa"",""labels"":[""LOCATION""]},{""start"":72,""end"":76,""text"":""2024"",""labels"":[""DATE""]}]",
3,Barack Obama visited Nairobi and spoke at a conference organized by the United Nations on Friday.,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":21,""end"":28,""text"":""Nairobi"",""labels"":[""LOCATION""]},{""start"":72,""end"":86,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":90,""end"":96,""text"":""Friday"",""labels"":[""DATE""]}]",
4,Microsoft and Amazon signed a deal in London last week at 3 PM.,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":14,""end"":20,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":44,""text"":""London"",""labels"":[""LOCATION""]},{""start"":45,""end"":54,""text"":""last week"",""labels"":[""DATE""]},{""start"":58,""end"":62,""text"":""3 PM"",""labels"":[""TIME""]}]",
5,Serena Williams trained in New York before traveling to Tokyo in June.,"[{""start"":0,""end"":14,""text"":""Serena William"",""labels"":[""PERSON""]},{""start"":27,""end"":35,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":56,""end"":61,""text"":""Tokyo"",""labels"":[""LOCATION""]},{""start"":65,""end"":69,""text"":""June"",""labels"":[""DATE""]}]",
6,The World Bank approved funding for projects in Tanzania and Kenya this year.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":48,""end"":56,""text"":""Tanzania"",""labels"":[""LOCATION""]},{""start"":61,""end"":66,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":67,""end"":76,""text"":""this year"",""labels"":[""DATE""]}]",
7,Cristiano Ronaldo played for a club in Saudi Arabia during the evening on Sunday.,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":39,""end"":51,""text"":""Saudi Arabia"",""labels"":[""LOCATION""]},{""start"":63,""end"":70,""text"":""evening"",""labels"":[""TIME""]},{""start"":74,""end"":80,""text"":""Sunday"",""labels"":[""DATE""]}]",
8,IBM hosted a global summit in Dubai where leaders from the European Union attended on March 10.,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Dubai"",""labels"":[""LOCATION""]},{""start"":59,""end"":73,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":86,""end"":94,""text"":""March 10"",""labels"":[""DATE""]}]",
9,Angela Merkel met officials from the African Union in Addis Ababa last month.,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":37,""end"":50,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":54,""end"":65,""text"":""Addis Ababa"",""labels"":[""LOCATION""]},{""start"":66,""end"":76,""text"":""last month"",""labels"":[""DATE""]}]",
10,Netflix released a documentary in Canada featuring Elon Musk and other leaders.,"[{""start"":0,""end"":7,""text"":""Netflix"",""labels"":[""ORGANIZATION""]},{""start"":34,""end"":40,""text"":""Canada"",""labels"":[""LOCATION""]},{""start"":51,""end"":60,""text"":""Elon Musk"",""labels"":[""PERSON""]}]",
11,The United Nations held a climate summit in New York on September 20 at noon.,"[{""start"":4,""end"":18,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":44,""end"":52,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":56,""end"":68,""text"":""September 20"",""labels"":[""DATE""]},{""start"":72,""end"":76,""text"":""noon"",""labels"":[""TIME""]}]",
12,Jack Ma spoke in Shanghai about investments made in Singapore in 2020.,"[{""start"":0,""end"":7,""text"":""Jack Ma"",""labels"":[""PERSON""]},{""start"":17,""end"":25,""text"":""Shanghai"",""labels"":[""LOCATION""]},{""start"":52,""end"":61,""text"":""Singapore"",""labels"":[""LOCATION""]},{""start"":65,""end"":69,""text"":""2020"",""labels"":[""DATE""]}]",
13,Samsung launched its latest device in South Korea and Japan earlier this year.,"[{""start"":0,""end"":7,""text"":""Samsung"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":49,""text"":""South Korea"",""labels"":[""LOCATION""]},{""start"":54,""end"":59,""text"":""Japan"",""labels"":[""LOCATION""]},{""start"":68,""end"":77,""text"":""this year"",""labels"":[""DATE""]}]",
14,The Red Cross provided emergency aid in Sudan after floods in July.,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":40,""end"":45,""text"":""Sudan"",""labels"":[""LOCATION""]},{""start"":62,""end"":66,""text"":""July"",""labels"":[""DATE""]}]",
15,Oprah Winfrey interviewed Barack Obama in Chicago on Tuesday evening.,"[{""start"":0,""end"":13,""text"":""Oprah Winfrey"",""labels"":[""PERSON""]},{""start"":26,""end"":38,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":42,""end"":49,""text"":""Chicago"",""labels"":[""LOCATION""]},{""start"":53,""end"":60,""text"":""Tuesday"",""labels"":[""DATE""]},{""start"":61,""end"":68,""text"":""evening"",""labels"":[""TIME""]}]",
16,Twitter announced updates in San Francisco while Google held a conference in Zurich.,"[{""start"":0,""end"":7,""text"":""Twitter"",""labels"":[""ORGANIZATION""]},{""start"":29,""end"":42,""text"":""San Francisco"",""labels"":[""LOCATION""]},{""start"":49,""end"":55,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":77,""end"":83,""text"":""Zurich"",""labels"":[""LOCATION""]}]",
17,Alibaba expanded into markets in Europe and Africa during 2021.,"[{""start"":0,""end"":7,""text"":""Alibaba"",""labels"":[""ORGANIZATION""]},{""start"":33,""end"":39,""text"":""Europe"",""labels"":[""LOCATION""]},{""start"":44,""end"":50,""text"":""Africa"",""labels"":[""LOCATION""]},{""start"":58,""end"":62,""text"":""2021"",""labels"":[""DATE""]}]",
18,The World Health Organization issued guidelines from Geneva last week.,"[{""start"":4,""end"":29,""text"":""World Health Organization"",""labels"":[""ORGANIZATION""]},{""start"":53,""end"":59,""text"":""Geneva"",""labels"":[""LOCATION""]},{""start"":60,""end"":69,""text"":""last week"",""labels"":[""DATE""]}]",
19,Mark Zuckerberg traveled from California to Indonesia in the morning.,"[{""start"":0,""end"":15,""text"":""Mark Zuckerberg"",""labels"":[""PERSON""]},{""start"":30,""end"":40,""text"":""California"",""labels"":[""LOCATION""]},{""start"":44,""end"":53,""text"":""Indonesia"",""labels"":[""LOCATION""]},{""start"":61,""end"":68,""text"":""morning"",""labels"":[""TIME""]}]",
20,Lionel Messi played in Miami before heading to Argentina in December.,"[{""start"":0,""end"":12,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":23,""end"":28,""text"":""Miami"",""labels"":[""LOCATION""]},{""start"":47,""end"":56,""text"":""Argentina"",""labels"":[""LOCATION""]},{""start"":60,""end"":68,""text"":""December"",""labels"":[""DATE""]}]",
21,The European Union met in Brussels to discuss policies affecting Germany and France.,"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":26,""end"":34,""text"":""Brussels"",""labels"":[""LOCATION""]},{""start"":65,""end"":72,""text"":""Germany"",""labels"":[""LOCATION""]},{""start"":77,""end"":83,""text"":""France"",""labels"":[""LOCATION""]}]",
22,Jeff Bezos attended a business forum in Berlin where leaders from Amazon were present.,"[{""start"":0,""end"":10,""text"":""Jeff Bezos"",""labels"":[""PERSON""]},{""start"":40,""end"":46,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":66,""end"":72,""text"":""Amazon"",""labels"":[""ORGANIZATION""]}]",
23,Apple revealed new products in California during an event held in September.,"[{""start"":0,""end"":5,""text"":""Apple"",""labels"":[""ORGANIZATION""]},{""start"":31,""end"":41,""text"":""California"",""labels"":[""LOCATION""]},{""start"":66,""end"":75,""text"":""September"",""labels"":[""DATE""]}]",
24,Bill Gates visited hospitals in Uganda and Kenya earlier this month.,"[{""start"":0,""end"":10,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":32,""end"":38,""text"":""Uganda"",""labels"":[""LOCATION""]},{""start"":43,""end"":48,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":57,""end"":67,""text"":""this month"",""labels"":[""DATE""]}]",
25,Facebook collaborated with Microsoft on a project launched in India in 2022.,"[{""start"":0,""end"":8,""text"":""Facebook"",""labels"":[""ORGANIZATION""]},{""start"":27,""end"":36,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":62,""end"":67,""text"":""India"",""labels"":[""LOCATION""]},{""start"":71,""end"":75,""text"":""2022"",""labels"":[""DATE""]}]",
26,The African Union held discussions in Ethiopia involving leaders from Sudan and Egypt.,"[{""start"":4,""end"":17,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":46,""text"":""Ethiopia"",""labels"":[""LOCATION""]},{""start"":70,""end"":75,""text"":""Sudan"",""labels"":[""LOCATION""]},{""start"":80,""end"":85,""text"":""Egypt"",""labels"":[""LOCATION""]}]",
27,Cristiano Ronaldo and Lionel Messi attended an awards ceremony in Paris at 8 PM.,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":22,""end"":34,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":66,""end"":71,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":75,""end"":79,""text"":""8 PM"",""labels"":[""TIME""]}]",
28,Google and IBM partnered on a project announced in New York on April 5.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":11,""end"":14,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":51,""end"":59,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":63,""end"":70,""text"":""April 5"",""labels"":[""DATE""]}]",
29,Angela Merkel gave a speech in Berlin during a summit attended by the United Nations.,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":31,""end"":37,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":70,""end"":84,""text"":""United Nations"",""labels"":[""ORGANIZATION""]}]",
30,The World Bank and International Monetary Fund met in Washington on October 10.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":19,""end"":46,""text"":""International Monetary Fund"",""labels"":[""ORGANIZATION""]},{""start"":54,""end"":64,""text"":""Washington"",""labels"":[""LOCATION""]},{""start"":68,""end"":78,""text"":""October 10"",""labels"":[""DATE""]}]",
1,The president met officials in Washington on Monday.,"[{""start"":31,""end"":41,""text"":""Washington"",""labels"":[""LOCATION""]},{""start"":45,""end"":51,""text"":""Monday"",""labels"":[""DATE""]}]",
2,Apple announced new features during its annual event.,"[{""start"":0,""end"":5,""text"":""Apple"",""labels"":[""ORGANIZATION""]}]",
3,Musk spoke about future plans at a conference in Texas.,"[{""start"":49,""end"":54,""text"":""Texas"",""labels"":[""LOCATION""]}]",
4,The government of Kenya introduced new policies last year.,"[{""start"":18,""end"":23,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":48,""end"":57,""text"":""last year"",""labels"":[""DATE""]}]",
5,Amazon’s CEO visited New York recently.,"[{""start"":0,""end"":6,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":21,""end"":29,""text"":""New York"",""labels"":[""LOCATION""]}]",
6,The team traveled to South Africa for a tournament.,"[{""start"":21,""end"":33,""text"":""South Africa"",""labels"":[""LOCATION""]}]",
7,Google opened a new office somewhere in Europe.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":40,""end"":46,""text"":""Europe"",""labels"":[""LOCATION""]}]",
8,The company expanded operations in Asia this year.,"[{""start"":35,""end"":39,""text"":""Asia"",""labels"":[""LOCATION""]},{""start"":40,""end"":49,""text"":""this year"",""labels"":[""DATE""]}]",
