annotation_id,text,label
198,Jack Ma spoke at an event in Shanghai.,"[{""start"":0,""end"":7,""text"":""Jack Ma"",""labels"":[""PERSON""]},{""start"":29,""end"":37,""text"":""Shanghai"",""labels"":[""LOCATION""]}]"
,,
199,Netflix filmed a series in Canada.,"[{""start"":0,""end"":7,""text"":""Netflix"",""labels"":[""ORGANIZATION""]},{""start"":27,""end"":33,""text"":""Canada"",""labels"":[""LOCATION""]}]"
,,
200,The African Union met in Addis Ababa.,"[{""start"":4,""end"":17,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":25,""end"":36,""text"":""Addis Ababa"",""labels"":[""LOCATION""]}]"
,,
201,Elon Musk and Bill Gates attended a summit in Switzerland.,"[{""start"":0,""end"":9,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":14,""end"":24,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":46,""end"":57,""text"":""Switzerland"",""labels"":[""LOCATION""]}]"
,,
202,Google and Microsoft are competing in the cloud market in Europe.,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":11,""end"":20,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":58,""end"":64,""text"":""Europe"",""labels"":[""LOCATION""]}]"
,,
203,The World Bank funded a project in Tanzania.,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":35,""end"":43,""text"":""Tanzania"",""labels"":[""LOCATION""]}]"
,,
204,IBM opened a research center in Brazil.,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":32,""end"":38,""text"":""Brazil"",""labels"":[""LOCATION""]}]"
,,
205,Angela Merkel met with leaders in Berlin.,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":34,""end"":40,""text"":""Berlin"",""labels"":[""LOCATION""]}]"
,,
206,The European Union passed new regulations in Brussels.,"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":45,""end"":53,""text"":""Brussels"",""labels"":[""LOCATION""]}]"
,,
207,Samsung launched a phone in South Korea.,"[{""start"":0,""end"":7,""text"":""Samsung"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":39,""text"":""South Korea"",""labels"":[""LOCATION""]}]"
,,
208,The Red Cross provided aid in Sudan.,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Sudan"",""labels"":[""LOCATION""]}]"
,,
209,Twitter announced updates from its headquarters in San Francisco.,"[{""start"":0,""end"":7,""text"":""Twitter"",""labels"":[""ORGANIZATION""]},{""start"":51,""end"":64,""text"":""San Francisco"",""labels"":[""LOCATION""]}]"
,,
210,Alibaba invested in a startup in Singapore.,"[{""start"":0,""end"":7,""text"":""Alibaba"",""labels"":[""ORGANIZATION""]},{""start"":33,""end"":42,""text"":""Singapore"",""labels"":[""LOCATION""]}]"
