batch_id,text,sentiment,batch,Unnamed: 1,global_id
15,I feel like I wasted money on this.,Negative,B3,,75
16,Decent product for the cost.,Positive,B3,,76
17,The price is fair for what you get.,Positive,B3,,77
18,Too expensive for such low quality.,Negative,B3,,78
19,I'm happy with the value I received.,Positive,B3,,79
20,"It's cheap, but it doesn't last long.",Negative,B3,,80
21,The product delivers great performance for its price.,Positive,B3,,81
22,It's not worth the high price tag.,Negative,B3,,82
23,Excellent value and great quality.,Positive,B3,,83
24,I regret spending this much on it.,Negative,B3,,84
25,It's reasonably priced and works well.,Positive,B3,,85
26,The quality is poor considering the cost.,Negative,B3,,86
27,Very good product for a low price.,Positive,B3,,87
28,It's overpriced and disappointing.,Negative,B3,,88
29,Worth every cent I paid.,Positive,B3,,89
30,It's not worth buying at this price.,Negative,B3,,90
1,"Yeah, this product is just amazing... not.",Negative,B4,,91
2,"It works, I guess.",Positive,B4,,92
3,"Great, another thing that stopped working after a day.",Negative,B4,,93
4,I love how it fails every time I use it.,Negative,B4,,94
5,It's fine if you don't expect much.,Positive,B4,,95
6,"Well, it didn't completely break, so that's something.",Negative,B4,,96
7,Absolutely fantastic if you enjoy wasting money.,Negative,B4,,97
8,"It does the job, but barely.",Positive,B4,,98
9,"I mean, it works... sometimes.",Negative,B4,,99
10,Best purchase ever... said no one.,Negative,B4,,100
11,It's not the worst thing I've bought.,Negative,B4,,101
12,"Surprisingly, it actually works.",Positive,B4,,102
13,"I had low expectations, and it still disappointed me.",Negative,B4,,103
14,"It's okay, I've seen worse.",Positive,B4,,104
15,I guess it's usable.,Positive,B4,,105
16,"Wow, it broke already. Impressive.",Negative,B4,,106
17,"It works, just not when you need it.",Negative,B4,,107
18,"Honestly, I expected it to be worse.",Positive,B4,,108
19,"Not bad, but not good either.",Positive,B4,,109
20,"I'm not mad, just disappointed.",Negative,B4,,110
21,"It's decent, I suppose.",Positive,B4,,111
22,It's good enough if you're desperate.,Positive,B4,,112
23,I wouldn't say it's terrible.,Positive,B4,,113
24,It kind of does what it should.,Positive,B4,,114
25,Amazing quality... for a toy product.,Negative,B4,,115
26,"It's acceptable, I guess.",Positive,B4,,116
27,"Not exactly what I wanted, but it works.",Negative,B4,,117
28,I can't say I'm impressed.,Negative,B4,,118
29,"It's usable, but frustrating.",Negative,B4,,119
30,"Well, at least it arrived.",Negative,B4,,120
