,🔹 Learning / Informational with action overlap,,,,,,,,,
24,learn Python step by step,Learn Python step by step tutorial for beginners,Python programming course online free,Java programming basics guide,High,High,Medium,Informational,Medium,"User wants to know how, where to learn python step by step"
25,best coding bootcamp online,Top online coding bootcamps 2025 comparison,Best programming courses online,Free YouTube coding tutorials,High,High,Medium,Transactional,Medium,User is comparing coding bootcamp services with the intent of joining one
26,how to become data analyst,How to become a data analyst roadmap,Data analyst skills and tools guide,Data science salary statistics,High,High,Low,Informational,Medium,User wants to learn the process of becoming a data analyst.
27,AI tools for beginners,AI tools for beginners list,Best AI software for productivity,Advanced machine learning algorithms research,High,High,Low,Transactional,Medium,User wants to find AI tools for bigginers so that he can use them.
28,what is machine learning used for,Applications of machine learning in real life,Machine learning examples and use cases,Buy AI software online,High,High,Low,Informational,Medium,User wants to know the use of Machine Learning
29,digital marketing explained simply,Digital marketing basics explained,Online marketing strategies guide,Social media advertising tools,High,High,Low,Informational,Medium,user wants to learn about digital marketing
30,how to build a website,How to build a website step by step,Website builders comparison (WordPress vs Wix),Web hosting services pricing,High,Medium,Low,Informational,Medium,User wants to know the steps followed to build a website
,,,,,,,,,,
,🔹 Daily Life / Local Search Ambiguity,,,,,,,,,
31,nearest hospital in Dar es Salaam,Nearest hospitals in Dar es Salaam list,Emergency hospitals near me Dar es Salaam,Health insurance plans Tanzania,High,High,Low,Transactional,Medium,User want to know where the nearest hospital is with the intent to go there
32,ATM near me,ATM locations near me,Bank branches near me,Credit card offers Tanzania,High,High,Low,Transactional,Medium,"User wants to find an ATM nearby, with the likely intent of going there."
33,best restaurants in Nairobi,Top restaurants in Nairobi list,Best places to eat Nairobi reviews,Kenya travel guide,High,High,Low,Transactional,Medium,User wants to find out where the best restaurant in Nairobi i with the intent of going
34,cheap food delivery apps,Food delivery apps with cheapest fees,Best food delivery services comparison,Online grocery shopping websites,High,High,Low,Transactional,Medium,User wants to identify a cheap food delivery app so as to order their services
35,pharmacy open now near me,Pharmacies open now near me,24-hour pharmacies Dar es Salaam,Online medicine delivery services,High,High,Low,Transactional,Medium,User wants to know where the Pharmacy nearest him so that he can visit it.
36,taxi services in Zanzibar,Taxi services in Zanzibar booking,Zanzibar transport options guide,Car rental services Zanzibar,High,Medium,Medium,Transactional,Medium,User wants to find out about taxi services in Zanzibar in order to get a texi.
,,,,,,,,,,
,🔹 Vague / Intent-unclear (important for QA skill),,,,,,,,,
37,best way to learn fast,Study techniques to learn faster,Memory improvement tips and tricks,Online courses platforms,High,High,Low,Informational,Medium,User wants to know best ways to learn fast so as to use them in learning.
38,best options for travel,Best travel destinations 2025,Travel planning tips guide,Flight booking websites,High,High,Medium,Informational,Medium,User wants to know best traveling options available
39,cheapest solution for business setup,Low-cost business startup ideas,Business registration process guide,Enterprise software solutions,High,Medium,Low,Informational,Medium,User wants to find out about the cheapest business setup solution
40,good places to invest money,Best investment opportunities 2025,Stock market investment options,Real estate properties for sale,High,High,Medium,Informational,Medium,User wants to find out about good places to invest money
