annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
234,1,2026-04-20T14:07:30.990209Z,234,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Sudan"",""labels"":[""LOCATION""]},{""start"":47,""end"":54,""text"":""evening"",""labels"":[""TIME""]}]",20.406,The Red Cross provided aid in Sudan during the evening.,2026-04-20T14:07:30.990209Z
,,,,,,,
235,1,2026-04-20T14:08:01.417760Z,235,"[{""start"":0,""end"":13,""text"":""Oprah Winfrey"",""labels"":[""PERSON""]},{""start"":31,""end"":38,""text"":""Chicago"",""labels"":[""LOCATION""]},{""start"":42,""end"":48,""text"":""Sunday"",""labels"":[""DATE""]}]",23.542,Oprah Winfrey hosted a show in Chicago on Sunday.,2026-04-20T14:08:01.417760Z
,,,,,,,
236,1,2026-04-20T14:08:31.244523Z,236,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":11,""end"":20,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":28,""end"":34,""text"":""Zurich"",""labels"":[""LOCATION""]},{""start"":38,""end"":45,""text"":""April 5"",""labels"":[""DATE""]}]",26.639,Google and Microsoft met in Zurich on April 5.,2026-04-20T14:08:31.244523Z
,,,,,,,
237,1,2026-04-20T14:09:57.178610Z,237,"[{""start"":4,""end"":29,""text"":""World Health Organization"",""labels"":[""ORGANIZATION""]},{""start"":49,""end"":55,""text"":""Geneva"",""labels"":[""LOCATION""]},{""start"":56,""end"":65,""text"":""this week"",""labels"":[""DATE""]}]",83.06,The World Health Organization issued a report in Geneva this week.,2026-04-20T14:09:57.178610Z
,,,,,,,
238,1,2026-04-20T14:10:29.120974Z,238,"[{""start"":0,""end"":15,""text"":""Mark Zuckerberg"",""labels"":[""PERSON""]},{""start"":24,""end"":29,""text"":""Japan"",""labels"":[""LOCATION""]},{""start"":37,""end"":46,""text"":""afternoon"",""labels"":[""TIME""]}]",28.323,Mark Zuckerberg visited Japan in the afternoon.,2026-04-20T14:10:29.120974Z
,,,,,,,
239,1,2026-04-20T14:10:52.220860Z,239,"[{""start"":0,""end"":12,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":23,""end"":28,""text"":""Miami"",""labels"":[""LOCATION""]},{""start"":32,""end"":36,""text"":""8 PM"",""labels"":[""TIME""]}]",19.845,Lionel Messi played in Miami at 8 PM.,2026-04-20T14:10:52.220860Z
,,,,,,,
240,1,2026-04-20T14:12:08.352330Z,240,"[{""start"":4,""end"":18,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":36,""end"":44,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":48,""end"":55,""text"":""October"",""labels"":[""DATE""]}]",73.093,The United Nations held a summit in New York in October.,2026-04-20T14:12:08.352330Z
